"","cluster","ra_group_factor","ra_site","age_group","n_cluster","matched","f_wt_totcore98","posterior","badmatch","r_postturnout","r_pretreatturnout","r_postregturnout","evervoted_pre","evervoted_post","x_f_ch_male","x_f_ad_male","ra_year","tract_unemp","tract_welf","tract_femalehead","tract_minority","tract_poverty","tract_college","grad_hs","attend_coll","work","parent","jail","sex_f","f_svy_yob_imp_ytgc","f_wt_totsvy","f_wt_totsvy_ad","f_c9010t_histatus_dw","f_c9010t_pblack_dw","f_c9010t_pcolldeg_dw","f_c9010t_pemp_dw","local_poverty_posttreat","f_c9010t_phisp_dw","f_c9010t_pfsfem_dw","f_c9010t_pminorty_dw","f_c9010t_pwelf_dw","x_f_site_balt","x_f_site_bos","x_f_site_chi","x_f_site_la","x_f_ad_le_35","x_f_ad_36_40","x_f_ad_41_45","x_f_ad_46_50","x_f_ch_age10","x_f_ch_age11","x_f_ch_age12","x_f_ch_age13","x_f_ch_age14","x_f_ch_age15","x_f_ch_age16","x_f_ch_age17","x_f_ch_age18","x_f_ch_age19","x_f_ch_age20","x_f_ad_edged","x_f_ad_edgradhs","x_f_ad_edgradhs_miss","x_f_ad_edinsch","x_f_ad_ethn_hisp","x_f_ad_nevmarr","x_f_ad_parentu18","x_f_ad_race_black","x_f_ad_race_other","x_f_ad_working","x_f_hh_disabl","x_f_hh_noteens","x_f_hh_size2","x_f_hh_size3","x_f_hh_size4","x_f_c1_behprb","x_f_c1_behprb_miss","x_f_c1_expel","x_f_c1_expel_miss","x_f_c1_gifted","x_f_c1_gifted_miss","x_f_c1_lrnprb","x_f_c1_lrnprb_miss","x_f_c1_schcll","x_f_ch_schplay","x_f_ch_schplay_miss","x_f_ch_specmed","x_f_c2_hosp","x_f_c2_hosp_miss","x_f_c2_lowbw","x_f_c2_lowbw_miss","x_f_c2_read","x_f_c2_read_miss","x_f_hood_5y","x_f_hood_chat","x_f_hh_victim","x_f_hh_afdc","x_f_hh_car","x_f_hood_nbrkid","x_f_hood_nofamily","x_f_hood_unsafenit","x_f_hood_verydissat","x_f_hood_nofriend","x_f_hous_fndapt","x_f_hous_mov3tm","x_f_hous_movdrgs","x_f_hous_movschl","x_f_hous_sec8bef"
"11","10_5","control",4,"adult",12,0,1.00544576219736,NA,0,0,0,NA,0,0,0,0,1995.08333333333,0.203849169355217,0.240539300310031,0.434938077487017,0.910431125313795,0.431734994089392,0.0946731318428744,NA,NA,NA,NA,NA,1,NA,0.75408432164802,0.75408432164802,0.174131530329471,0.27747960346431,0.0946731318428744,0.796150830644783,0.431734994089392,0.579217253404457,0.434938077487017,0.910431125313795,0.240539300310031,0,0,0,1,0.0833333333333333,0.416666666666667,0.166666666666667,0.166666666666667,0,0,0,0,0,0,0,0,0,0,0,0.0833333333333333,0.5,0,0.0833333333333333,0.25,0.75,0.5,0.75,0,0.333333333333333,0,0.75,0.25,0.416666666666667,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0.5,0.583333333333333,0.916666666666667,0.25,0.333333333333333,0.5,0.416666666666667,0.416666666666667,0.416666666666667,0.666666666666667,0.166666666666667,0.903763698392163,0.549219741204106,0.360798500873172
"12","10_6","control",4,"adult",12,0,1.00544576219736,NA,0,0,0,NA,0,0,0,0,1995.08333333333,0.174938970325499,0.234930198910061,0.426521396751384,0.964534232274325,0.422784802849435,0.0917202438364453,NA,NA,NA,NA,NA,1,NA,0.92165861534758,0.92165861534758,0.158030486820486,0.271627984791213,0.0917202438364453,0.825061029674501,0.422784802849435,0.645055276603639,0.426521396751384,0.964534232274325,0.234930198910061,0,0,0,1,0,0.0833333333333333,0.0833333333333333,0.25,0,0,0,0,0,0,0,0,0,0,0,0.25,0.333333333333333,0,0,0.333333333333333,0.666666666666667,0.354303741209424,0.5,0.333333333333333,0,0.0833333333333333,0.333333333333333,0.333333333333333,0.0833333333333333,0.0833333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.639435880603683,0.5,0.25,0.916666666666667,0.166666666666667,0.583333333333333,0.666666666666667,0.75,0.333333333333333,0.416666666666667,0.416666666666667,0.0833333333333333,0.916666666666667,0.333333333333333,0.416666666666667
"13","10_7","control",4,"adult",11,0.272727272727273,1.00544576219736,0.969363582628117,0,0.1,0,0.466666666666667,0,0.272727272727273,0,0.272727272727273,1995.09090909091,0.2067466488198,0.251519965872247,0.44950481635495,0.928810794176923,0.439422225349345,0.0850812433774463,NA,NA,NA,NA,NA,0.727272727272727,NA,0.82263744179784,0.82263744179784,0.157723282679585,0.283390939092296,0.0850812433774463,0.7932533511802,0.439422225349345,0.605975543023483,0.44950481635495,0.928810794176923,0.251519965872247,0,0,0,1,0,0.363636363636364,0.272727272727273,0.181818181818182,0,0,0,0,0,0,0,0,0,0,0,0.0909090909090909,0.181818181818182,0.0909090909090909,0.181818181818182,0.545454545454545,0.454545454545455,0.363636363636364,0.454545454545455,0,0.181818181818182,0,0.727272727272727,0.0909090909090909,0.181818181818182,0.181818181818182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.545454545454545,0.545454545454545,0.545454545454545,0.727272727272727,0.363636363636364,0.727272727272727,0.636363636363636,0.818181818181818,0.454545454545455,0.454545454545455,0.636363636363636,0,1,0.727272727272727,0.272727272727273
"14","100_1","control",4,"young_kid",12,0.0833333333333333,1.00544576219736,0.982985025719733,0,0.00833333333333333,0,0.1,0,0.0833333333333333,0,0,1995.08333333333,0.199020857767085,0.251018593695826,0.462233139021674,0.952970320168526,0.455602398807636,0.0838805502703721,0.666666666666667,0.5,0.5,0.555555555555556,0.2,1,1987.5,0.446864783198826,1.16105046348981,0.147970983331879,0.308362218378498,0.0838805502703721,0.800979142232915,0.455602398807636,0.617933960944584,0.462233139021674,0.952970320168526,0.251018593695826,0,0,0,1,0,0.5,0.166666666666667,0.0833333333333333,0,0,0,0,0,0.0833333333333333,0.0833333333333333,0.166666666666667,0,0.0833333333333333,0.166666666666667,0,0.333333333333333,0.0833333333333333,0,0.333333333333333,0.75,0.416666666666667,0.666666666666667,0.25,0,0,0.583333333333333,0.0833333333333333,0.333333333333333,0.333333333333333,0,0,0,0,0,0.0833333333333333,0,0,0.0833333333333333,0,0.0833333333333333,0.00356462132156407,0,0,0.0833333333333333,0,0,0.0833333333333333,0.666666666666667,0.75,0.583333333333333,1,0.166666666666667,0.583333333333333,0.5,0.583333333333333,0.416666666666667,0.333333333333333,0.583333333333333,0,0.82043036505883,0.632553074537439,0.416666666666667
"15","100_10","control",4,"young_kid",11,0.454545454545455,1.00544576219736,0.958805325810438,0,0.181818181818182,0,0.42,0,0.272727272727273,1,0.181818181818182,1995.18181818182,0.204287015996895,0.22740542085927,0.458159077985961,0.940912830827418,0.424242639372298,0.110500769195097,0.625,0.25,0.25,0.3,0.4,0,1987.90909090909,0.4570208009988,0.9140416019976,0.182544134379073,0.334968319832124,0.110500769195097,0.795712984003105,0.424242639372298,0.573336221275528,0.458159077985961,0.940912830827418,0.22740542085927,0,0,0,1,0,0.181818181818182,0.181818181818182,0.363636363636364,0,0,0,0,0.181818181818182,0,0.0909090909090909,0,0.181818181818182,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.454545454545455,0.545454545454545,0.386513172228462,0.545454545454545,0.0909090909090909,0.181818181818182,0.181818181818182,0.454545454545455,0.181818181818182,0.0909090909090909,0.181818181818182,0,0.181818181818182,0,0,0.0909090909090909,0,0.181818181818182,0,0.181818181818182,0.0909090909090909,0.0909090909090909,0.181818181818182,0.272727272727273,0,0.0909090909090909,0,0.0909090909090909,0,0.545454545454545,0.636363636363636,0.363636363636364,0.727272727272727,0.181818181818182,0.727272727272727,0.636363636363636,0.727272727272727,0.363636363636364,0.272727272727273,0.727272727272727,0.0909090909090909,1,0.272727272727273,0.363636363636364
"16","100_11","control",4,"young_kid",11,0.272727272727273,1.00544576219736,0.873748467462636,0,0.0363636363636364,0,0.3,0,0.181818181818182,1,0,1995.09090909091,0.183501701575588,0.23972940959313,0.422307778281851,0.9458754967476,0.401778189963751,0.0965312692973803,0.666666666666667,0.333333333333333,0,0.111111111111111,1,0,1989.09090909091,0.761701334997997,0.9140416019976,0.160384549122096,0.331820009682297,0.0965312692973803,0.816498298424412,0.401778189963751,0.574972854421263,0.422307778281851,0.9458754967476,0.23972940959313,0,0,0,1,0,0.454545454545455,0.363636363636364,0.181818181818182,0,0,0,0.0909090909090909,0,0.0909090909090909,0.272727272727273,0.181818181818182,0,0,0.0909090909090909,0.181818181818182,0.181818181818182,0,0.0909090909090909,0.363636363636364,0.727272727272727,0.454545454545455,0.636363636363636,0.0909090909090909,0,0,0.818181818181818,0,0.181818181818182,0.454545454545455,0.0909090909090909,0,0.181818181818182,0,0.0909090909090909,0,0.0909090909090909,0,0.272727272727273,0,0,0.00379726106911527,0.181818181818182,0,0.0909090909090909,0,0,0.0909090909090909,0.727272727272727,0.454545454545455,0.454545454545455,0.909090909090909,0.363636363636364,0.727272727272727,0.727272727272727,0.636363636363636,0.363636363636364,0.454545454545455,0.363636363636364,0.0909090909090909,0.971848069219266,0.743752162627141,0.423560365541467
"17","100_12","control",4,"young_kid",11,0.636363636363636,1.00544576219736,0.920619388711372,0,0.109090909090909,0,0.2,0,0.363636363636364,1,0,1995.09090909091,0.144684160441347,0.176946027872336,0.346521944705571,0.903521128746026,0.340866058309505,0.12419669047802,0,0.333333333333333,0,0,1,0,1990.81818181818,0.670297174798239,0.82263744179784,0.196234673305932,0.201303320977152,0.12419669047802,0.855315839558653,0.340866058309505,0.661439413968172,0.346521944705571,0.903521128746026,0.176946027872336,0,0,0,1,0,0.272727272727273,0.0909090909090909,0.181818181818182,0,0,0.181818181818182,0.0909090909090909,0.181818181818182,0.0909090909090909,0.0909090909090909,0.0909090909090909,0,0,0.0909090909090909,0,0.272727272727273,0.181818181818182,0.0909090909090909,0.636363636363636,0.636363636363636,0.113785899501189,0.363636363636364,0.363636363636364,0.272727272727273,0,0.454545454545455,0,0.0909090909090909,0.0909090909090909,0,0,0,0,0.0909090909090909,0,0.181818181818182,0,0.181818181818182,0.0909090909090909,0.181818181818182,0.0119651016557012,0.0909090909090909,0.181818181818182,0,0.272727272727273,0,0.181818181818182,0.788475506113108,0.909090909090909,0.363636363636364,0.727272727272727,0.272727272727273,0.818181818181818,0.909090909090909,0.454545454545455,0.454545454545455,0.545454545454545,0.454545454545455,0.181818181818182,0.727272727272727,0.727272727272727,0.454545454545455
"18","100_13","control",4,"young_kid",11,0.272727272727273,1.00544576219736,0.945986343636901,0,0.0272727272727273,0,0.133333333333333,0,0.0909090909090909,1,0,1995.18181818182,0.174748083899947,0.22375242001208,0.42063993711575,0.907687119783072,0.388789252590849,0.109409073471972,0.666666666666667,0.333333333333333,0,0.222222222222222,0.5,0,1989.09090909091,0.670297174798239,1.00544576219736,0.175433650115221,0.26249018354423,0.109409073471972,0.825251916100053,0.388789252590849,0.602852797972872,0.42063993711575,0.907687119783072,0.22375242001208,0,0,0,1,0.0909090909090909,0.363636363636364,0.272727272727273,0.181818181818182,0,0,0,0.181818181818182,0,0.0909090909090909,0.181818181818182,0.0909090909090909,0.0909090909090909,0.0909090909090909,0,0.0909090909090909,0.363636363636364,0.0909090909090909,0.0909090909090909,0.545454545454545,0.454545454545455,0.363636363636364,0.500647112614639,0.39323106743044,0.0909090909090909,0,0.727272727272727,0,0.272727272727273,0.181818181818182,0,0.0909090909090909,0.0909090909090909,0.0909090909090909,0,0.0909090909090909,0,0.0909090909090909,0.119204755043461,0,0,0.00425630001107907,0.181818181818182,0,0,0,0,0.0909090909090909,0.606657324294927,0.454545454545455,0.454545454545455,0.727272727272727,0.363636363636364,0.818181818181818,0.727272727272727,0.454545454545455,0.363636363636364,0.181818181818182,0.363636363636364,0.181818181818182,0.909090909090909,0.727272727272727,0.363636363636364
"19","100_14","control",4,"young_kid",11,0.454545454545455,1.00544576219736,0.923943354566187,0,0.145454545454545,0,0.38,0,0.363636363636364,0.909090909090909,0.0909090909090909,1995.18181818182,0.185408320164349,0.232553595672311,0.426587061563435,0.921694314727126,0.427876608877807,0.0927948860987788,0.5,0.333333333333333,0.666666666666667,0.3,0.333333333333333,0,1988.45454545455,0.792169388397918,1.00544576219736,0.173965297112829,0.244057146034255,0.0927948860987788,0.814591679835651,0.427876608877807,0.636890386084913,0.426587061563435,0.921694314727126,0.232553595672311,0,0,0,1,0,0.0909090909090909,0.454545454545455,0.363636363636364,0,0,0.0909090909090909,0,0.0909090909090909,0,0.0909090909090909,0.181818181818182,0.0909090909090909,0,0.181818181818182,0.0909090909090909,0.363636363636364,0,0.181818181818182,0.636363636363636,0.272727272727273,0.363636363636364,0.409738021705549,0.120503794703167,0.181818181818182,0.181818181818182,0.545454545454545,0,0.0909090909090909,0.181818181818182,0,0.181818181818182,0.0909090909090909,0.0909090909090909,0,0,0.181818181818182,0,0.181818181818182,0,0.0909090909090909,0.0909090909090909,0,0,0,0,0,0,0.727272727272727,0.363636363636364,0.727272727272727,0.818181818181818,0.272727272727273,0.727272727272727,0.454545454545455,0.545454545454545,0.454545454545455,0.181818181818182,0.363636363636364,0.181818181818182,0.727272727272727,0.636363636363636,0.0909090909090909
"20","100_15","control",4,"young_kid",11,0.272727272727273,1.00544576219736,0.910955523128383,0,0.0909090909090909,0,0.4,0,0.272727272727273,1,0,1995,0.187850136155715,0.228823226194972,0.425533208398058,0.945060169548415,0.436485649839748,0.0904982540320225,0.6,0.4,1,0,0,0,1989.36363636364,0.914041601997598,1.00544576219736,0.147237036215958,0.291479888386378,0.0904982540320225,0.812149863844285,0.436485649839748,0.622911911555411,0.425533208398058,0.945060169548415,0.228823226194972,0,0,0,1,0.0909090909090909,0.0909090909090909,0.636363636363636,0.181818181818182,0,0,0,0.181818181818182,0,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.181818181818182,0.181818181818182,0.181818181818182,0.454545454545455,0,0.0909090909090909,0.636363636363636,0.636363636363636,0.454545454545455,0.363636363636364,0.272727272727273,0,0.0909090909090909,0.727272727272727,0,0,0.636363636363636,0,0,0,0,0.0909090909090909,0,0,0,0.0909090909090909,0,0,0,0.181818181818182,0.0909090909090909,0,0.0909090909090909,0.181818181818182,0,0.181818181818182,0.454545454545455,0.545454545454545,0.909090909090909,0.0909090909090909,0.545454545454545,0.818181818181818,0.545454545454545,0.272727272727273,0.454545454545455,0.454545454545455,0.272727272727273,0.818181818181818,0.727272727272727,0.181818181818182
